horse,career_runs,win_strike_rate
Above The Line (IRE),6,0.0
Above The Rest (IRE),45,0.1333333333333333
Above Us Only Sky (IRE),39,0.0
Aboveheronlysky (IRE),3,0.0
Aboy Joey (IRE),14,0.0
Abr Al Hudood (JPN),3,0.0
Abraaj (FR),27,0.1111111111111111
Abracadabra Sivola (FR),24,0.1666666666666666
Abracadarbra (IRE),0,0.0
Abrach Road (GB),7,0.0
Abrafo (NZ),0,0.0
Abrag (IRE),8,0.125
Abraham (IRE),54,0.1111111111111111
Abraham (USA),1,0.0
Abraham Answer (IRE),4,0.0
Abrahams Blessing (IRE),10,0.0
Abrahamsen (IRE),0,0.0
Abraj Dubai (USA),3,0.3333333333333333
Abrakadabra (GER),0,0.0
Abrams Creek (IRE),5,0.2
Abrantes (SPA),3,0.0
Abrasso (FR),20,0.0
Abravaggio (IRE),10,0.2
Abraxa (IRE),1,0.0
Abraxans (FR),6,0.0
Abraxas (GER),2,0.0
Abraxas Stone (FR),6,0.0
Abreed (AUS),2,0.0
Abricot De LOasis (FR),22,0.2727272727272727
Abridgement (GB),1,0.0
Abrilete (IRE),1,0.0
Abrir Caminos (CHI),0,0.0
Abrogate (USA),1,0.0
Abronzal (FR),0,0.0
Abrumar (USA),3,0.0
Abrupt (AUS),0,0.0
Abruzzi (GB),1,0.0
Abruzzo Mia (GB),23,0.1739130434782608
Abs Akula (IRE),4,0.0
Absainte (FR),14,0.0
Absalon (AUS),1,0.0
Absalon (USA),10,0.5
Absalon Cat (FR),0,0.0
Absam (USA),0,0.0
Absatootly (USA),1,0.0
Absberg (IRE),6,0.0
Abscond (USA),9,0.1111111111111111
Abseil (USA),2,0.0
Abseiler (AUS),1,0.0
Absence Of Malice (IRE),5,0.0
Absent Lady (USA),6,0.0
Absentee (IRE),5,0.0
Absentee (USA),0,0.0
Abshrek (GB),4,0.25
Absilon (FR),1,0.0
Absinte Adevayo (FR),0,0.0
Absinth (FR),4,0.0
Absolucool (AUS),8,0.0
Absolut Excelencia (AUS),0,0.0
Absolut Grey (FR),4,0.0
Absolute (FR),3,0.0
Absolute (IRE),14,0.0
Absolute Advantage (GB),3,0.0
Absolute Alpha (IRE),2,0.0
Absolute Altitude (GB),5,0.0
Absolute Angel (GB),5,0.2
Absolute Awakened (NZ),10,0.1
Absolute Basset (FR),0,0.0
Absolute Belter (GB),1,0.0
